example_id	sfp_topic	candidate_form	construction_type	source_reference	source_zone	tedim_text	segmentation	gloss	translation	example_quality	print_status	why_selected	caveat
ex:sfp-ahi-hi-gen1-13	declarative_hi_with_copula	ahi hi	copula_plus_declarative	Genesis 1:13	OT	ahi hi	ahi | hi	be.3SG | DECL	it was	high	print_ready	Compact OT copula-plus-declarative anchor for clause-final hi.	Not a bare unrestricted hi claim.
ex:sfp-ahi-hi-matt1-1	declarative_hi_with_copula	ahi hi	copula_plus_declarative	Matthew 1:1	Gospel	hih bang ahi hi	hih | bang | ahi | hi	this | way | be.3SG | DECL	it is thus / this is how it is	medium	print_usable_with_caveat	Compact Gospel counterpart for copula-plus-declarative hi.	Formulaic genealogy frame; keep claim narrow.
ex:sfp-lo-hi-gen4-5	neg_plus_declarative	lo hi	neg_plus_declarative	Genesis 4:5	OT	thusim lo hi	thusim | lo | hi	accept | NEG | DECL	it was not accepted	high	print_ready	Controlled OT neg-plus-declarative row.	Keep overlap with negation section explicit.
ex:sfp-lo-hi-matt2-10	neg_plus_declarative	lo hi	neg_plus_declarative	Matthew 2:10	Gospel	kigen thei lo hi	ki-gen | thei | lo | hi	REFL-say | can | NEG | DECL	it cannot be fully told	high	print_ready	Compact Gospel neg-plus-declarative row.	Modal layering remains visible.
ex:sfp-hen-gen1-3	optative_hen	hen	jussive_optative	Genesis 1:3	OT	Khuavak om hen	Khuavak | om | hen	light | exist | JUSS	let there be light	high	print_ready	Canonical OT optative anchor.	Do not widen into a full mood chapter.
ex:sfp-hen-matt6-9	optative_hen	hen	jussive_optative	Matthew 6:9	Gospel	na min siangtho kizahtak hen	na | min | siangtho | ki-zahtak | hen	2SG.POSS | name | holy | REFL-honor | JUSS	hallowed be your name	high	print_ready	Gospel jussive counterpart for hen.	Prayer register; still a controlled clause-final use.
ex:sfp-in-gen6-14	imperative_in	in	imperative_singular_boundary	Genesis 6:14	OT	teembaw khat bawl in	teembaw | khat | bawl | in	ark | one | make | IMP.SG [export caveat: ERG/FUNC]	make an ark	high	print_usable_with_caveat	Primary OT singular imperative in anchor.	Export overlaps with case-like ERG/FUNC tagging.
ex:sfp-in-luke23-34	imperative_in	in	imperative_singular_boundary	Luke 23:34	Gospel	a mawhna uh na maisak in	a | mawhna | uh | na | mai-sak | in	3SG | sin | PL | 2SG | forgive-CAUS | IMP.SG [export caveat]	forgive their sin	medium	print_usable_with_caveat	Gospel imperative in counterpart.	Keep case/export overlap caveat explicit.
ex:sfp-un-ps100-1	imperative_un	un	imperative_plural	Psalms 100:1	OT	gingsak un	ging-sak | un	sound-CAUS | IMP.PL	make a joyful noise	high	print_ready	Clean OT plural imperative anchor.	Do not absorb nearby aw vocative material.
ex:sfp-un-matt3-3	imperative_un	un	imperative_plural	Matthew 3:3	Gospel	lampi tangsak un	lampi | tang-sak | un	path | straighten-CAUS | IMP.PL	make his paths straight	high	print_ready	Gospel plural imperative counterpart with same clause-final un pattern.	None.
