candidate_id	topic	candidate_form	base_or_parse	predicate_type	person_configuration	tam_negation_profile	stem_form_status	source_reference	source_zone	evidence_status	tedim_text	segmentation	gloss	translation	candidate_status	print_status	diagnostic_status	why_selected	caveat
vp-fin-ka-nei-gen21	verb_paradigms	ka nei hi	ka-nei	finite_stative_predicate	1SG_subject	declarative_hi	nonalternating_form_i	Genesis 21:7	Old Testament	corpus_backed	Ahi zongin a teek khitin amah tawh tapa khat ka nei hi.	ahi | zongin | a | teek | khitin | amah | tawh | tapa | khat | ka-nei | hi	but | then | 3SG | old.age | after | 3SG.PRO | with | son | one | 1SG-have | DECL	Yet when she was old, I have a son by him.	accepted	print_ready	finite_frame_diagnostic	Shows a compact finite frame with person-marked predicate plus clause-final `hi` in an OT row.	By itself this does not settle the full person-prefix paradigm.
vp-fin-a-en-uh-matt27	verb_paradigms	a en uh hi	a-en-uh	finite_transitive_predicate	3SG_prefix_plus_plural_uh	declarative_hi	no_stem_claim	Matthew 27:36	Gospels	corpus_backed	Jesuh a en uh hi.	Jesuh | a | en | uh | hi	Jesus | 3SG | look.at | 2/3PL | DECL	They watched Jesus.	accepted_with_caveat	print_usable_with_caveat	finite_frame_diagnostic	Provides a clean Gospel finite frame with overt predicate and clause-final `hi`.	The `uh` slot still overlaps wider person/number analysis.
vp-pers-na-si-ding-gen2	verb_paradigms	na si ding hi	na-si-ding	finite_event_predicate	2SG_subject	irrealis_ding_plus_hi	no_stem_claim	Genesis 2:17	Old Testament	corpus_backed	Bang hang hiam cih leh tua na nek ni-in na si ding hi.	bang | hang | hiam | cih | leh | tua | na | nek | ni-in | na | si | ding | hi	what | reason | Q | say | if | that | 2SG | eat.II | day-LOC | 2SG | die | IRR | DECL	For in the day that you eat of it, you will surely die.	accepted	print_ready	person_marking_diagnostic	Gives a stable second-person finite predicate frame with overt irrealis material.	The row intersects TAM analysis and should not be widened into a full TAM account here.
vp-pers-a-suak-gen26	verb_paradigms	a suak hi	a-suak	finite_intransitive_predicate	3SG_subject	declarative_hi	no_stem_claim	Genesis 26:13	Old Testament	corpus_backed	a hau mahmah khat a suak hi.	a | hau | mahmah | khat | a | suak | hi	3SG | rich | very | one | 3SG | become | DECL	He became very rich.	accepted	print_ready	person_marking_diagnostic	Adds a clear third-person finite predicate anchor in a simple clause.	`suak` has broader lexical behavior outside this first finite-frame scope.
vp-pers-ka-nei-kei-john4	verb_paradigms	ka nei kei hi	ka-nei-kei	finite_negative_predicate	1SG_subject	negation_kei_plus_hi	no_stem_claim	John 4:17	Gospels	corpus_backed	Numei in, “Pasal ka nei kei hi,” a ci hi.	numei | in | pasal | ka-nei | kei | hi | a | ci | hi	woman | ERG | husband | 1SG-have | NEG | DECL | 3SG | say | DECL	The woman said, “I have no husband.”	accepted_with_caveat	print_usable_with_caveat	person_marking_diagnostic	Supplies a Gospel first-person finite predicate row with explicit person marking.	The row is also a negation overlap and should not reopen the negation section.
vp-support-nei-neih	verb_paradigms	nei / neih	nei~neih	lexeme_family_support	variable_subject	mixed_finite_and_derived	form_i_form_ii_family	Genesis 11:30; 2 Samuel 23:8	Old Testament	corpus_backed	Tu-in Sarai ciing a, ta nei lo hi. / David' neih mi thahatte' minte.	tu-in | Sarai | ciing | a | ta | nei | lo | hi / David' | neih | mi | thahat-te' | min-te	now-ADV | Sarai | barren | 3SG | child | have | NEG | DECL / David.POSS | have-NOM | person | mighty-PL.POSS | name-PL	Now Sarai was barren; she had no child. / the names of David's mighty men.	accepted_with_caveat	supporting_candidate	paradigm_supporting	Keeps one paradigm-friendly lexeme family visible across finite and derived environments.	The family overlaps stem alternation and nominalization, so it remains supporting only.
vp-bound-neg-nei-lo-gen11	verb_paradigms	ta nei lo hi	nei-lo	finite_negative_boundary	3SG_subject	negation_lo_plus_hi	no_stem_claim	Genesis 11:30	Old Testament	corpus_backed	Tu-in Sarai ciing a, ta nei lo hi.	tu-in | Sarai | ciing | a | ta | nei | lo | hi	now-ADV | Sarai | barren | 3SG | child | have | NEG | DECL	Now Sarai was barren; she had no child.	deferred	boundary_only	negation_boundary	Keeps finite-negation interaction visible in the candidate layer.	Negation analysis is handled in the dedicated negation section.
vp-bound-tam-lutthei-matt7	verb_paradigms	lutthei ding uh hi	lut-thei-ding	modal_irrealis_boundary	plural_subject_uh	abilitative_plus_irrealis	no_stem_claim	Matthew 7:21	Gospels	corpus_backed	lutthei ding uh hi.	lut-thei | ding | uh | hi	enter-ABIL | IRR | 2/3PL | DECL	They will be able to enter.	deferred	boundary_only	tam_boundary	Shows how finite predicates quickly stack with TAM/modal material.	TAM interpretation belongs to the dedicated TAM section.
vp-bound-stem-mu-gen6	verb_paradigms	mu	mu	perception_boundary	3SG_subject	declarative_hi	form_i_boundary	Genesis 6:8	Old Testament	corpus_backed	Noah in Topa' maipha mu hi.	Noah | in | Topa' | maipha | mu | hi	Noah | ERG | Lord.POSS | favor | see | DECL	Noah found favor with the Lord.	deferred	boundary_only	stem_alternation_boundary	Keeps the Form I side of a central stem boundary visible.	Stem alternation ownership remains in the dedicated stem section.
vp-bound-stem-muh-matt2	verb_paradigms	muh	muh	perception_boundary	plural_subject_uh	temporal_subordinate	form_ii_boundary	Matthew 2:10	Gospels	corpus_backed	Tua aksi a muh uh ciangin.	tua | aksi | a | muh | uh | ciangin	that | star | 3SG | see.II | 2/3PL | when	When they saw the star.	deferred	boundary_only	stem_alternation_boundary	Keeps the Form II side of the same stem boundary visible in a Gospel row.	This is boundary evidence, not a standalone finite paradigm anchor.
vp-bound-object-hongbia-matt4	verb_paradigms	hong bia	hong-bia	object_prefix_boundary	2_to_1_participant	irrealis_clause	no_stem_claim	Matthew 4:9	Gospels	corpus_backed	Ka mai-ah kunin kei hong bia lecin hihte khempeuh nangma tungah kong pia ding hi, a ci hi.	ka | mai-ah | kunin | kei | hong | bia | le-cin | hih-te | khempeuh | nangma | tung-ah | kong | pia | ding | hi | a | ci | hi	1SG.PRO | front-LOC | when | 1SG.PRO | 2→1 | worship | COND | these | all | 2SG.PRO | on | 1→2 | give | IRR | DECL | and | say | DECL	If you worship me, I will give you all these things.	deferred	boundary_only	object_prefix_boundary	Keeps object-prefix contrasts visible so finite-frame claims stay scoped correctly.	Object-prefix interpretation is owned by the dedicated hong/kong section.
vp-bound-object-kongkoih-gen41	verb_paradigms	kong koih	kong-koih	object_prefix_boundary	1_to_2_participant	irrealis_clause	no_stem_claim	Genesis 41:41	Old Testament	corpus_backed	Egypt gam khempeuh a uk dingin nang kong koih khinzo hi.	Egypt | gam | khempeuh | a | uk | ding-in | nang | kong | koih | khinzo | hi	Egypt | land | all | GEN | rule | IRR-ERG | 2SG.PRO | 1→2 | place | already | DECL	I have placed you over all the land of Egypt.	deferred	boundary_only	object_prefix_boundary	Adds an OT object-prefix boundary row that should remain outside the finite core table.	Object-prefix interpretation is owned by the dedicated hong/kong section.
vp-report-ipai-agreement	verb_paradigms	i pai	i-pai	report_paradigm_row	1PL_INCL_subject_report	bare	no_stem_claim	docs/grammar/reports/05-verb-03-agreement.md (Subject Agreement Prefixes)	Report table	report_table_only	i-pai	i-pai	1PL.INCL-go	we (inclusive) go (report table)	blocked	blocked	report_table_only	Preserves the inclusive paradigm row as report-only evidence without promoting it.	Report paradigms are discovery material and not print-safe by themselves.
vp-report-kapai-artifact	verb_paradigms	ka pai	ka-pai	report_paradigm_artifact	1SG_subject_report	bare	artifact_segmentation	docs/grammar/reports/05-verb-00-paradigm-tables.md (Pai pronominal marking table)	Report table	report_table_only	ka pai	kap-ai	weep-persecute (artifact gloss)	report-table row with homograph segmentation noise	deferred	boundary_only	lexicalized_or_unclear	Documents why raw paradigm tables cannot be promoted automatically.	The report segmentation and gloss are artifact-prone in this row.
vp-analyzer-neg-abil-variants	verb_paradigms	-pah / -pak / -lawh	NEG.ABIL_variants	analyzer_gap_boundary	none	modal_negative_ability	conditioning_unresolved	docs/grammar/ANALYZER_LITERATURE_GAPS.md; docs/grammar/morphemes/05-modal.md	Analyzer gap	analyzer_gap_blocked	bawl-pah / om-pak / ngah-lawh	bawl-pah | om-pak | ngah-lawh	make-NEG.ABIL | exist-NEG.ABIL | get-NEG.ABIL	Conditioned negative-ability variants remain unresolved.	blocked	blocked	analyzer_gap_blocked	Keeps unresolved conditioned modal variants visible as blocked material.	Conditioning remains unresolved and should not be promoted in a first paradigm slice.
