candidate_id	topic	candidate_group	candidate_form	construction_type	source_type	source_reference	anchor_form	segmentation_span	gloss_span	rough_function	candidate_status	confidence	print_status	why_selected	why_excluded	manual_review_status	notes
deriv_sak_caus_paisak	derivation_valency	sak_causative	paisak	form_i_plus_sak_causative	report+test+source_map	docs/grammar/reports/05-verb-09-valency.md::Common -sak Forms; tests/test_sak_caus_benf.py::test_form_i_plus_sak_is_caus; docs/grammar/grammar_source_map.json::causative-sak	paisak	pai-sak	go-CAUS	causative valency increase via Form I plus -sak	accepted	high	print_ready	A clean analyzer-backed and regression-backed Form I plus -sak row is already present in the repository, so this is the safest first anchor for future print prose.	It should not be merged back into broad TAM or VP-stacking discussion, because the packet needs a derivation-led anchor rather than another constructional stack.	reviewed	Use as the main future -sak causative anchor.
deriv_sak_benf_muhsak	derivation_valency	sak_benefactive	muhsak	form_ii_plus_sak_benefactive	test+literature+source_map	tests/test_sak_caus_benf.py::test_form_ii_plus_sak_is_benf; docs/grammar/lit-reviews/05-verb-09-valency-lit.md §§1.3, 2.6.1, 3.3; docs/grammar/grammar_source_map.json::benefactive-sak	muhsak	muh-sak	see.II-BENF	benefactive or applicative-like valency increase via Form II plus -sak	accepted_with_caveat	high	print_usable_with_caveat	This row is the clearest current regression-backed evidence that Form II plus -sak must stay distinct from plain causative rows in the candidate layer.	The literature still debates whether causative and benefactive -sak are two functions of one suffix or a split best described in separate editorial sections, so future prose must keep that theoretical question explicit.	reviewed	Use as the safest future benefactive -sak anchor while keeping the split wording cautious.
deriv_pih_paipih	derivation_valency	pih_applicative_comitative	paipih	verb_plus_pih_applicative	report+literature+source_map	docs/grammar/reports/05-verb-09-valency.md::-pih Examples; docs/grammar/lit-reviews/05-verb-09-valency-lit.md §2.6.2; docs/grammar/grammar_source_map.json::applicative-pih	paipih	pai-pih	go-APPL	applicative or comitative valency increase with -pih	accepted_with_caveat	medium	print_usable_with_caveat	The reports already provide a compact corpus anchor and the analyzer keeps the segmentation transparent, so this is the best current -pih candidate for a later slice.	The literature often treats -pih as a Stem-II comitative applicative, while the report gloss here is broader and the exact benefactive versus associative reading remains unresolved.	reviewed	Use as the leading -pih row, but keep the function label cautious.
deriv_pih_boundary_mipihte	derivation_valency	pih_nominal_boundary	mipihte	nominal_or_lexical_pih_boundary	report+literature	docs/grammar/reports/05-verb-09-valency.md::-pih Examples; docs/grammar/morphemes/06-derivational.md::-pih homonymy note	mipihte	mi-pih-te	person-APPL-PL	nominal or lexicalized pih-looking material	deferred	medium	not_print_ready	This row keeps the packet honest by showing that not every pih-looking form should seed verbal derivation prose.	It is noun-centered and homonymous with non-verbal pih material, so it belongs in boundary control rather than in a first grammar slice.	needs_followup	Use as a lexicalized or nominal boundary row for -pih.
deriv_ki_reflexive_kisep	derivation_valency	ki_reflexive	kisep	ki_prefix_reflexive	literature+analyzer+source_map	docs/grammar/lit-reviews/05-verb-09-valency-lit.md §2.7.1; docs/grammar/grammar_source_map.json::reflexive-ki	kisep	ki-sep	REFL-work	verbal reflexive or self-directed action with ki-	accepted_with_caveat	medium	print_usable_with_caveat	This is the most semantically transparent current ki- example available from the evidence set, and it keeps the packet focused on verbal reflexive morphology rather than on nominal pronoun reflexives.	The example currently comes from the literature layer rather than from the main corpus reports or regression tests, so a later slice must keep the evidence trail explicit and maintain the prefix/agreement boundary.	needs_followup	Best current future anchor for a narrow ki- reflexive subsection.
deriv_ki_boundary_kigen	derivation_valency	ki_middle_passive	kigen	ki_prefix_middle_passive_like	report+literature+source_map	docs/grammar/reports/05-verb-09-valency.md::Common ki- Forms; docs/grammar/lit-reviews/05-verb-09-valency-lit.md §2.7.3; docs/grammar/grammar_source_map.json::reflexive-ki	kigen	ki-gen	conversation	middle, passive-like, or lexicalized ki- material	deferred	medium	not_print_ready	The report repeatedly cites kigen as a passive-like or agent-defocused ki- form, so it must remain visible in the candidate layer.	The analyzer gloss is lexicalized and semantically noisy, which makes it unsafe as the first print anchor for productive ki- morphology.	needs_followup	Keep as boundary evidence for the middle/passive-like side of ki-.
deriv_stack_ciahsakkik	derivation_valency	derivation_heavy_stack	ciahsakkik	sak_plus_aspect_stack	report+cross_packet	docs/grammar/reports/05-verb-10-combinations.md::ASPECT+DERIVATIONAL; output/publication_review/review_notes_vp_structure_stacking.md	ciahsakkik	ciah-sak-kik	return-CAUS-ITER	causative plus iterative stack	deferred	medium	not_print_ready	This is one of the clearest derivation-heavy stacks explicitly deferred by the VP structure / suffix stacking packet, so the derivation packet needs to own it as discovery evidence.	It still sits on the VP stacking and aspect boundary, so it should not become the first derivation anchor by itself.	needs_followup	Use as explicit evidence for later interaction between derivation and aspect.
deriv_stack_bawlsakthei	derivation_valency	derivation_heavy_stack	bawlsakthei	sak_plus_modal_stack	test+cross_packet	tests/test_vp_slots.py::test_deriv_plus_modal; output/publication_review/review_notes_vp_structure_stacking.md	bawlsakthei	bawl-sak-thei	make-CAUS-ABIL	causative plus abilitative stack	deferred	medium	not_print_ready	This row has direct regression evidence and was already singled out by the VP packet as material that belongs here rather than in TAM or VP prose.	It still depends on TAM or modal boundary control, so it should remain a deferred stack rather than the first derivation grammar anchor.	needs_followup	Keep as the clearest derivation-plus-modal overlap row.
deriv_stack_paikhiatsak	derivation_valency	derivation_heavy_stack	paikhiatsak	sak_plus_directional_stack	report+cross_packet	docs/grammar/reports/05-verb-10-combinations.md::DERIVATIONAL+DIRECTIONAL; output/publication_review/review_notes_vp_structure_stacking.md	paikhiatsak	pai-khia-sak	go-out-CAUS	causative plus directional stack	deferred	medium	not_print_ready	This row keeps the directional boundary explicit and shows why derivation work must not be detached from completed directionals work.	It is not a safe first print anchor because the directional interaction is central to the form rather than incidental.	needs_followup	Use as the clearest derivation-plus-directional overlap row.
deriv_trans_piangsak	derivation_valency	transitivity_adjacent	piangsak	lexicalized_causative_like_transitive	report+cross_packet	docs/grammar/reports/05-verb-12-transitivity.md::Transitive Verbs; docs/grammar/reports/05-verb-09-valency.md::-sak Examples	piangsak	piangsak	cause.birth	transitivity-adjacent lexicalized valency increase	deferred	medium	not_print_ready	This row keeps the transitivity report adjacent to the derivation packet and shows that high-frequency lexicalized causative-looking verbs cannot be ignored.	The analyzer treats it as a lexical stem, and the transitivity chapter should not be absorbed into the first derivation slice.	reviewed	Use as adjacent evidence only, not as the first productive -sak anchor.
