candidate_id	topic	candidate_group	candidate_form	construction_type	source_type	source_reference	anchor_form	segmentation_span	gloss_span	rough_function	candidate_status	confidence	print_status	why_selected	why_excluded	manual_review_status	notes
transitivity-intr-sih	transitivity	clean_intransitive_anchor	sih	simple_verb	report_row	docs/grammar/reports/05-verb-12-transitivity.md#intransitive	sih	sih	die	intransitive_event	accepted	high	print_candidate	One of the cleanest ABS-led intransitive rows in the report and not immediately swallowed by derivation, agreement, or case-marking boundary issues.		needs_human_review	Use as safest first intransitive anchor rather than higher-ERG rows such as hong or ki.
transitivity-intr-suak	transitivity	clean_intransitive_support	suak	simple_verb	report_row	docs/grammar/reports/05-verb-12-transitivity.md#intransitive	suak	suak	become	change_of_state_intransitive	accepted_with_caveat	medium	print_candidate	Useful supporting intransitive row with a simpler argument profile than locative-heavy om or pai.	Report percentages remain discovery-oriented rather than definitive editorial proof.	needs_human_review	Keep as support rather than the sole anchor.
transitivity-trans-hawl	transitivity	clean_transitive_anchor	hawl	simple_verb	report_row	docs/grammar/reports/05-verb-12-transitivity.md#transitive	hawl	hawl	seek	transitive_event	accepted_with_caveat	medium	print_candidate	One of the least theory-heavy ERG+ABS rows in the transitive group and less boundary-heavy than piangsak or stem-alternation families.	ERG rates in the report are moderate rather than categorical, so the row still needs controlled editorial framing.	needs_human_review	Potential future contrast partner for sih or suak.
transitivity-trans-en	transitivity	clean_transitive_support	en	simple_verb	report_row	docs/grammar/reports/05-verb-12-transitivity.md#transitive	en	en	look.at	perception_transitive	accepted_with_caveat	medium	print_candidate	Useful second transitive row that supports a basic ERG+ABS contrast without immediately forcing derivation or agreement theory.	Lower report counts and perception-verb semantics make it weaker than a chapter-wide anchor.	needs_human_review	Keep as support rather than the leading transitive claim.
transitivity-ambi-mu	transitivity	ambitransitive_or_labile	mu	verb_family	report_row	docs/grammar/reports/05-verb-12-transitivity.md#ambitransitive_or_labile	mu	mu	see	ambitransitive_or_labile_behavior	accepted_with_caveat	medium	boundary_only	Important evidence that the report contains alternation or labile-looking material rather than only clean binary classes.	Overlaps with stem alternation and should not lead the first print-facing transitivity claim.	needs_human_review	Treat as visible boundary evidence, not as the first grammar-slice anchor.
transitivity-ambi-muh	transitivity	form_ii_stem_alternation_boundary	muh	verb_family	report_row	docs/grammar/reports/05-verb-12-transitivity.md#ambitransitive_or_labile	mu / muh	muh	see.II	stem_alternation_adjacent_transitivity	accepted_with_caveat	medium	boundary_only	Shows Form I / Form II adjacency inside the transitivity report and helps delimit the stem-alternation boundary.	Not clean enough for a first transitivity slice because the stem alternation packet already controls the larger I/II problem.	needs_human_review	Keep with mu as a boundary pair.
transitivity-prefix-nei	transitivity	prefix_agreement_boundary	nei / neih	verb_family	report_row	docs/grammar/reports/05-verb-12-transitivity.md#ambitransitive_or_labile	nei	nei / neih	have / have.II	prefix_and_stem_boundary	accepted_with_caveat	medium	boundary_only	Useful for showing that some transitivity rows immediately overlap with prefix/agreement and stem-alternation material.	Should not lead the first slice because the prefix/agreement packet already handles kanei and related routing.	needs_human_review	Boundary row only.
transitivity-case-pia	transitivity	case_marking_ditransitive_boundary	pia	ditransitive	report_row	docs/grammar/reports/05-verb-12-transitivity.md#ditransitive	pia	pia	give	argument_structure_with_dative	case_boundary_only	medium	boundary_only	Shows that some report rows are really about argument marking and ditransitive structure rather than the first transitivity contrast.	Too dependent on case-marking and broader argument-structure analysis to lead the initial transitivity slice.	needs_human_review	Keep visible but deferred.
transitivity-case-tom	transitivity	case_marking_comitative_boundary	tom	argument_structure_boundary	report_row	docs/grammar/reports/05-verb-12-transitivity.md#comitative	tom	tom	meet.with	comitative_argument_structure	case_boundary_only	medium	boundary_only	Useful evidence that comitative-marked arguments appear in the report and should remain case-boundary material.	Not suitable as a first transitivity anchor because the row is dominated by case-frame interpretation.	needs_human_review	Boundary row only.
transitivity-deriv-piangsak	transitivity	valency_changing_or_lexicalized_boundary	piangsak	derived_or_lexicalized_verb	report_row	docs/grammar/reports/05-verb-12-transitivity.md#transitive	piang / piangsak	piang~sak	create / cause.birth	derivation_valency_overlap	deferred	high	boundary_only	Important because the report treats it as strongly transitive, but it also sits directly beside causative/valency material already controlled elsewhere.	Too derivation-heavy or lexicalized-looking for the first transitivity slice.	needs_human_review	Keep outside the initial print claim.
