example_id	clause_linkage_topic	candidate_form	construction_type	source_reference	source_zone	tedim_text	segmentation	gloss	translation	example_quality	print_status	why_selected	caveat
clnk-ciangin-gen1p3	temporal_subordination	ciangin	temporal_subordinator	Genesis 1:3	Old Testament	Pasian in, "Khuavak om hen," ci hi; tua ciangin khuavak om pah hi.	Pasian in Khuavak om hen ci hi tua ciang-in khuavak om pah hi	PASIAN ERG light exist JUSS say DECL that then-ERG light exist do.so DECL	And God said, Let there be light: and there was light.	high	print_ready	Clearest OT temporal subordination anchor with tua ciangin form.	Genesis 1:3 is foundational Bible text.
clnk-ciangin-gen1p21	temporal_subordination	ciangin	temporal_subordinator	Genesis 1:21	Old Testament	Tua ahih ciangin Pasian in tuipi ganhing golpite le amau nam ciatin tuipi sungah tampi...	Tua ahih ciang-in Pasian in tui-pi ganhing gol-pi-te le amau nam ciatin tui-pi sung-ah tampi	that be.3SG.REL then-ERG PASIAN ERG water-big animal creature-great-PL and 3PL.PRO nation each.kind.ERG water-big inside-LOC many	And God created great whales, and every living creature that moveth, which the waters brought forth	high	print_ready	Clear OT example with ahih ciangin for different-subject temporal linkage.	Uses ahih 'be' as relative marker before ciangin subordinator.
clnk-ciangin-gen1p26	temporal_subordination	ciangin	temporal_subordinator	Genesis 1:26	Old Testament	Tua ciangin Pasian in, "Eima lim, eimah hong sunin mihing bawl ni. Tuipi ngasate tung,...	Tua ciang-in Pasian in Eima lim ei-mah hong sun-in mi-hing bawl ni tui-pi ngasa-te tung	that then-ERG PASIAN ERG our.god sign 1PL.EXCL-EMPH 3→1 night-ERG person-kind make day water-big fish-PL on	And God said, Let us make man in our image, after our likeness: and let them have dominion over	high	print_ready	Another clear OT temporal subordination with tua ciangin.	Genesis 1:26 shows repeated pattern.
clnk-dingin-gen1p14	purposive_boundary	dingin	purposive_clause_bound_irrealis	Genesis 1:14	Old Testament	Pasian in, "Sun le zan a khen dingin vantungah khuavakte om hen; tuate pen pawi...	Pasian in Sun le zan a khen ding-in vantung-ah khuavak-te om hen tua-te pen pawi	PASIAN ERG SUN and break 3SG divide IRR-ERG heaven-LOC light-PL exist JUSS DIST-PL TOP Pawi	And God said, Let there be lights in the firmament of the heaven to divide the day from the night	medium	print_usable_with_caveat	OT purposive subordination with dingin as clause-bound irrealis boundary.	Overlaps with TAM-layer irrealis marking.
clnk-dingin-gen1p15	purposive_boundary	dingin	purposive_clause_bound_irrealis	Genesis 1:15	Old Testament	leitung khua a vaksak dingin vantungah khuavak hi uh hen," ci hi. Tua mah bangin...	lei-tung khua a vak-sak ding-in vantung-ah khuavak hi uh hen ci hi Tua mah bang-in	night-bound earth 3SG-break.apart IRR-ERG heaven-LOC light DECL exist JUSS say DECL that too like-ERG	so that it might light the firmament of heaven...	medium	print_usable_with_caveat	Second OT purposive example showing dingin pattern.	Part of extended Genesis 1 creation discourse.
clnk-ngenin-gen41p55	switch_ref_ss	ngenin	same_subject_converb	Genesis 41:55	Old Testament	Egypt gam khempeuh a kial ciangin, an ngenin mite Faro' tungah kiko uh hi. Faro...	Egypt gam khempeuh a kial ciang-in an ngen-in mi-te Faro' tung-ah kiko uh hi Faro	EGYPT land all 3SG hunger then-ERG 3PL.POSS pray-CVB person-PL FARO' on-LOC cry.out 2/3PL DECL FARO	And when all the land of Egypt was famished, the people cried to Pharaoh for bread: and Pharaoh said	high	print_usable_with_caveat	OT converb-marked same-subject clause chaining with ngenin 'pray-CVB'.	Boundary between converb and subordination analysis remains open.
clnk-panin-gen1p4	switch_ref_ss	panin	same_subject_converb	Genesis 1:4	Old Testament	Pasian in tua khuavak hoih hi, ci-in a mu hi. Pasian in khuamial panin khuavak...	Pasian in tua khuavak hoih hi ci-in a mu hi Pasian in khuamial pan-in khuavak	PASIAN ERG that light good DECL say-QUOT 3SG see.I DECL PASIAN ERG darkness ABL-ERG light	And God saw the light, that it was good: and God divided the light from the darkness.	high	print_usable_with_caveat	OT converb example with panin 'plead-CVB' for same-subject chaining.	Different converb stem than ngenin; shows pattern consistency.
clnk-abawlmi-exodus30p38	relative_boundary	a bawl mi	prenominal_relative	Exodus 30:38	Old Testament	paknamtui **a bawl mi** peuhmah	paknamtui a bawl mi peuhmah	perfume 3SG.REL make person every	whoever makes any like it	high	print_usable_with_caveat	Clear OT prenominal relative with human head and perfume-making context.	Example is concise and technically clean.
clnk-abawlmi-matthew7p5	relative_boundary	a bawl mi	prenominal_relative	Matthew 7:5	Gospels	na lakkhiat theihna dingun	na lak-khiat theih-na ding-un	2SG.POSS remove-out be.able-NMLZ purpose-2/3PL	so that you may be able to remove it	medium	print_ready	Gospel example showing prenominal relative with ability nominalization.	Gospel example shows relative-clause boundary with nominalized head.
clnk-muhnaah-gen6p11	nominalization_case_boundary	muhna-ah	nominalization_plus_case	Genesis 6:11	Old Testament	Tu-in Pasian' muhna-ah leitung sia a.	tu-in Pasian' muh-na-ah leitung sia a	now-ERG God.GEN see-NMLZ-LOC earth corrupt DECL	Now the earth was corrupt in the sight of God.	high	print_usable_with_caveat	OT nominalization-plus-case boundary with locative sight expression.	Functions as idiomatic sight-expression; shared with case marking.
