candidate_id	topic	construction_id	verse_id	reference	surface_span	token_indices	segmentation_span	gloss_span	lemma_span	pos_span	kjv	candidate_status	confidence	why_selected	why_excluded	manual_review_status	notes
dem-hih-gen-5-1	demonstratives	hih	01005001	Genesis 5:1	Hih	0	Hih	this	hi	DET	This is the book of the generations of Adam. In the day that God created man, in the likeness of God made he him;	accepted	high	Analyzer confirms `hih` as a demonstrative token in a clean proximal identificational clause.		reviewed	
dem-tua-gen-1-6	demonstratives	tua	01001006	Genesis 1:6	tua	9	tua	that	tua	DET	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.	accepted	high	Analyzer confirms `tua` as a distal/anaphoric determiner in an ordinary noun phrase.		reviewed	
dem-hihte-gen-10-20	demonstratives	hihte	01010020	Genesis 10:20	Hihte	0	hih-te	this-PL	hi	DET	These are the sons of Ham, after their families, after their tongues, in their countries, and in their nations.	accepted	high	Analyzer export preserves the plural demonstrative span and supports the dossier's DEM + `-te` analysis.		reviewed	
dem-tuate-gen-2-19	demonstratives	tuate	01002019	Genesis 2:19	tuate	21	tua-te	DIST-PL	tua	DET	And out of the ground the LORD God formed every beast of the field, and every fowl of the air; and brought them unto Adam to see what he would call them: and whatsoever Adam called every living creature, that was the name thereof.	accepted	high	Analyzer export confirms `tuate` as the distal plural form in pronominal use.		reviewed	
dem-hih-bangin-gen-32-4	demonstratives	hih-bangin	01032004	Genesis 32:4	hih bangin	8,9	hih | bang-in	this | like-ERG	hi | bang	DET | CONJ	And he commanded them, saying, Thus shall ye speak unto my lord Esau; Thy servant Jacob saith thus, I have sojourned with Laban, and stayed there until now:	accepted	high	Analyzer-confirmed `hih` plus `bangin` supports a manually checked manner/discourse construction.		reviewed	
dem-tua-bangin-exod-14-30	demonstratives	tua-bangin	02014030	Exodus 14:30	tua bangin	2,3	tua | bang-in	that | like-ERG	tua | bang	DET | CONJ	Thus the LORD saved Israel that day out of the hand of the Egyptians; and Israel saw the Egyptians dead upon the sea shore.	accepted	high	Analyzer-confirmed `tua bangin` supports the distal/anaphoric manner/discourse construction after manual review.		reviewed	
dem-tua-ciangin-gen-1-3	demonstratives	tua-ciangin	01001003	Genesis 1:3	tua ciangin	7,8	tua | ciang-in	that | then-ERG	tua | ciang	DET | CONJ	And God said, Let there be light: and there was light.	accepted	high	Analyzer-confirmed `tua ciangin` supports a discourse-temporal linker, not a raw two-word adjacency only.		reviewed	
dem-tua-ahih-ciangin-gen-2-21	demonstratives	tua-ahih-ciangin	01002021	Genesis 2:21	Tua ahih ciangin	0,1,2	Tua | ahih | ciang-in	that | be.3SG.REL | then-ERG	tua | ahih | ciang	DET | CONJ | CONJ	And the LORD God caused a deep sleep to fall upon Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;	accepted	high	Analyzer-confirmed token sequence supports the discourse-temporal transition construction.		reviewed	
dem-hi-john-1-19	demonstratives	hi	43001019	John 1:19	na hi hiam?”	17,18,19	na | hi | hiam	2SG | DECL | Q	na | hi | hiam	FUNC | FUNC | FUNC	And this is the record of John, when the Jews sent priests and Levites from Jerusalem to ask him, Who art thou?	deferred	medium	Keep one analyzer-confirmed `hi` context in the candidate layer to document why raw `hi` hits cannot be promoted directly.	Defer `hi` as a demonstrative headword: this verse shows an identity question (`na hi hiam`), not a clean demonstrative citation.	reviewed	Analyzer marks `hi` as DECL in this span; the dossier therefore defers `hi` to later copular or sentence-final work.
dem-hih-ciangin-gen-18-10	demonstratives	hih-ciangin	01018010	Genesis 18:10	“Tuzawh kha kua khit ciangin	3,4,5,6,7	tu-zawh | kha | kua | khit | ciang-in	sit-ABIL | NEG.PERF | who | SEQ | then-ERG	tu | Kha | kua | Khit | ciang	V | PROP | NUM | PROP | CONJ	And he said, I will certainly return unto thee according to the time of life; and, lo, Sarah thy wife shall have a son. And Sarah heard it in the tent door, which was behind him.	excluded	high	Retain a documented exclusion so future work can see why raw report discovery overgenerated here.	The old report's Genesis 18:10 example does not contain demonstrative `hih ciangin`; the analyzer-confirmed span contains no demonstrative `hih` before `ciangin`.	reviewed	Raw discovery and analyzer-aware review disagree here; the discrepancy is preserved rather than silently corrected.
dem-hih-bangin-gen-6-22	demonstratives	hih-bangin	01006022	Genesis 6:22	tua bangmahin	2,3	tua | bang-mah-in	that | what-EMPH-ERG	tua | bang	DET | FUNC	Thus did Noah; according to all that God commanded him, so did he.	excluded	high	Retain the report-level pitfall as an exclusion row so later dossiers do not reuse it.	Genesis 6:22 has `tua bangmahin`, not plain `hih bangin`, so it cannot be accepted as a proximal demonstrative manner example.	reviewed	This row records a raw-report misread and the analyzer-confirmed surface span that replaced it.
