word	freq	segmented	gloss
khempeuhah	378	khem-peuhah	restrain-?
napi	279	na-pi	2SG-?
leenggahzu	239	leeng-gah-zu	chariot-rider-?
puak	239	pua-k	carry.on.back-?
bangci	224	ba-ngci	owe-?
vekpi	213	ve-kpi	do-?
bawngtal	212	ba-wngtal	owe-?
leuleu	193	leu~leu	?~RED
mateng	185	mat-eng	grasp-?
hinapi	156	hi-napi	be-?
veve	142	ve-ve	do-?
banah	138	ba-nah	owe-?
ngam	128	nga-m	endure-?
humpinelkai	125	hum-pinelkai	cover-?
hawlkhia	119	hawl-khia	seek-?
bangmahin	115	ba-ngmahin	owe-?
ngak	102	nga-k	endure-?
matengin	99	mat-engin	grasp-?
leenggah	98	leeng-gah	chariot-?
baal	90	ba-al	owe-?
ban	85	ba-n	owe-?
bangun	84	ba-ngun	owe-?
banga	79	ba-nga	owe-?
nak	77	na-k	2SG-?
phattuamna	77	phat-tuam-na	praise-?-NMLZ
annel	76	an-nel	food-?
letsong	76	let-song	return-?
vei	71	ve-i	do-?
balaam	70	ba-laam	owe-?
bangzah	65	ba-ngzah	owe-?
khutnuai	63	khut-nuai	hand-?
ngasa	62	nga-sa	endure-?
pualamah	62	pua-lamah	carry.on.back-?
pualam	60	pua-lam	carry.on.back-?
naupangte	59	na-upa-ng-te	2SG-elder-?-PL
bashan	59	ba-shan	owe-?
tuamtuam	59	tuam-tuam	promise-?
lungsimah	57	lung-simah	feel-?
lutangte	56	lu-tang-te	head-?-PL
zenzen	53	zen~zen	?~RED
amen	53	a-men	3SG-?
ning	52	nin-g	day-?
nuamsa	51	nuam-sa	want-?
baih	49	ba-ih	owe-?
bangbang	48	ba-ngbang	owe-?
pianna	48	pia-n-na	give-?-NMLZ
aksi	48	ak-si	fowl-?
nasepnate	48	na-sep-na-te	2SG-work-?-PL
ciatah	48	ci-atah	say-?
kiphatsakna	47	kiphatsak-na	?-NMLZ
balak	47	ba-lak	owe-?
khahkhia	46	khah-khia	choke-?
innkuanpihte	46	i-nnkuanpih-te	1PL.INCL-?-PL
kapin	46	ka-pin	1SG-?
ciatin	45	ci-atin	say-?
gamtatnasa	45	gamtat-na-sa	kingdom-NMLZ-?
kantan	45	kan-tan	remain-?
tawlngakna	45	tawlngak-na	?-NMLZ
kantanin	44	ka-ntanin	1SG-?
guhte	44	guh-te	?-PL
liatna	44	liat-na	?-NMLZ
itin	44	i-tin	1PL.INCL-?
khuampite	44	khua-mpi-te	town-?-PL
utna	44	ut-na	?-NMLZ
ngawng	43	nga-wng	endure-?
mizpah	43	mi-zpah	person-?
tuangte	43	tuang-te	?-PL
sitbaang	43	sit-baang	cut.off-?
lungkia	43	lung-kia	feel-?
nangawnin	43	na-nga-wnin	2SG-endure-?
nakpi	42	na-kpi	2SG-?
maangmuhna	42	maangmuh-na	?-NMLZ
ngaihno	42	ngaih-no	think-?
ngetna	41	nget-na	?-NMLZ
honte	41	hon-te	?-PL
etna	41	et-na	?-NMLZ
hiangte	41	hi-ang-te	be-?-PL
thumanin	41	thu-manin	word-?
buaina	41	buai-na	?-NMLZ
azariah	41	a-za-riah	3SG-hear.I-?
kimanna	41	kiman-na	?-NMLZ
tuikulh	41	tui-kulh	water-?
sarah	40	sa-rah	flesh-?
issakhar	40	i-ssakhar	1PL.INCL-?
puantualpi	40	puan-tual-pi	cloth-?-big
hingkik	40	hi-ngkik	be-?
hithiat	40	hi-thiat	be-?
site	40	sit-e	cut.off-?
gensia	40	gen-sia	speak-?
kaleb	40	ka-leb	1SG-?
haina	40	hai-na	?-NMLZ
lasaknate	40	lasakna-te	?-PL
itte	40	i-t-te	1PL.INCL-?-PL
ahaziah	40	a-haziah	3SG-?
kampauna	40	ka-mpau-na	1SG-?-NMLZ
amaziah	40	a-maziah	3SG-?
theithei	40	thei-thei	know.I-?
ngahtheih	40	ngah-theih	get-?
khangsak	39	khang-sak	generation-?
sawlkhia	39	sawl-khia	send-?
khualzin	39	khua-lzin	town-?
pawlte	39	pa-wl-te	father-?-PL
kawmin	39	ka-wmin	1SG-?
kauphe	39	ka-uphe	1SG-?
gamkhing	39	gam-khing	land-?
ausan	39	a-usan	3SG-?
pulnatna	39	pulnat-na	?-NMLZ
cimawh	39	cim-awh	pierce-?
luanghawm	39	luang-hawm	corpse-?
liangko	38	liang-ko	shine-?
zanglei	38	zang-lei	use-?
kalaohte	38	ka-laoh-te	1SG-?-PL
sawmte	38	sa-wm-te	flesh-?-PL
awk	38	a-wk	3SG-?
kalaoh	38	ka-laoh	1SG-?
kammalte	38	ka-mmal-te	1SG-?-PL
langte	38	lang-te	?-PL
kahto	38	ka-hto	1SG-?
khuampi	38	khua-mpi	town-?
kongkhakte	38	kong-kha-k-te	1SG→3-spirit-?-PL
cimawhte	38	cim-awh-te	pierce-?-PL
vakhu	37	vak-hu	walk-?
anlak	37	a-nlak	3SG-?
paisukin	37	pai-sukin	go-?
kipawlna	37	kipawl-na	?-NMLZ
bawngno	37	ba-wngno	owe-?
nitakin	37	ni-takin	day-?
lumkhawm	37	lum-khawm	warm-?
lungnuam	37	lung-nuam	feel-?
cial	37	ci-al	say-?
nidang	37	ni-dang	day-?
hoihpen	37	hoih-pen	be.good-?
khakte	37	kha-k-te	spirit-?-PL
nasemnu	37	na-sem-nu	2SG-serve-?
thumvei	37	thu-mvei	word-?
barnabas	37	ba-rnabas	owe-?
khuh	36	kh-uh	?-PL
negeb	36	ne-geb	eat-?
kitotna	36	kitot-na	?-NMLZ
ngimna	36	ngim-na	?-NMLZ
nangawnah	36	na-nga-wnah	2SG-endure-?
manna	36	man-na	?-NMLZ
nazatte	36	na-za-t-te	2SG-hear.I-?-PL
pial	36	pia-l	give-?
sihon	36	sih-on	die-?
alangte	36	a-lang-te	3SG-?-PL
cingte	36	ci-ng-te	say-?-PL
aksite	35	a-ksi-te	3SG-?-PL
vawh	35	va-wh	go.and-?
gamhluah	35	gam-hluah	land-?
sepsak	35	sep-sak	work-?
khaktan	35	kha-ktan	spirit-?
thuciam	35	thu-ciam	word-?
bawngnawi	35	ba-wngnawi	owe-?
khualmi	35	khua-l-mi	town-?-NMLZ.AG
vante	35	va-n-te	go.and-?-PL
nihin	35	ni-hin	day-?
vangik	35	va-ngik	go.and-?
vengpa	35	veng-pa	guard-?
bawlpa	35	bawl-pa	make-?
lungduai	35	lung-duai	feel-?
cingtaak	35	ci-ngtaak	say-?
galkidona	35	galkido-na	?-NMLZ
thumin	35	thu-min	word-?
khangno	35	khang-no	generation-?
vet	35	ve-t	do-?
tunna	35	tun-na	?-NMLZ
zaksa	35	zak-sa	hear.II-?
pawlpite	35	pa-wlpi-te	father-?-PL
ngakin	34	nga-kin	endure-?
im	34	i-m	1PL.INCL-?
omzia	34	om-zia	exist-?
silate	34	sila-te	?-PL
letmat	34	let-mat	return-?
beelte	34	beel-te	?-PL
munmuanhuai	34	mu-nmuanhuai	see.I-?
khuasunga	34	khua-sunga	town-?
mikah	34	mi-kah	person-?
tuidawn	34	tui-dawn	water-?
asaf	34	a-sa-f	3SG-flesh-?
honpite	33	honpi-te	?-PL
siangthosak	33	siangtho-sak	holy-?
singte	33	sing-te	?-PL
paikhawm	33	pai-khawm	go-?
mudahte	33	mu-dah-te	see.I-?-PL
mangbuh	33	mangb-uh	?-PL
kisapna	33	kisap-na	?-NMLZ
ompihna	33	om-pih-na	exist-?-NMLZ
puakhia	33	pua-khia	carry.on.back-?
ang	33	a-ng	3SG-?
theitel	33	thei-tel	know.I-?
genkhia	33	gen-khia	speak-?
beina	33	bei-na	?-NMLZ
cisak	33	ci-sak	say-?
ngat	33	nga-t	endure-?
singkungte	33	singkung-te	?-PL
hilo	33	hi-lo	be-?
zahko	33	zah-ko	fear-?
lasate	33	lasa-te	?-PL
simmawhna	33	simmawh-na	?-NMLZ
nazareth	33	na-za-reth	2SG-hear.I-?
piansak	32	pia-nsak	give-?
nazat	32	na-za-t	2SG-hear.I-?
kawi	32	ka-wi	1SG-?
khiat	32	khia-t	exit-?
sanah	32	sa-nah	flesh-?
neupen	32	ne-upen	eat-?
kal	32	ka-l	1SG-?
luanna	32	lu-an-na	head-?-NMLZ
bangte	32	ba-ng-te	owe-?-PL
buktual	32	buk-tual	ambush-?
theihsa	32	theih-sa	know.II-?
phaknatna	32	phaknat-na	?-NMLZ
suahtakna	32	suahtak-na	?-NMLZ
behbehin	32	beh-behin	tribe-?
panpih	32	pa-npih	father-?
abiathar	32	a-biathar	3SG-?
paubaanna	32	pau-baan-na	speak-?-NMLZ
mial	31	mi-al	person-?
thudang	31	thu-dang	word-?
bawng	31	ba-wng	owe-?
paktatna	31	pa-ktat-na	father-?-NMLZ
salsuahna	31	sa-lsuah-na	flesh-?-NMLZ
kihtakna	31	kihtak-na	?-NMLZ
nisuh	31	ni-s-uh	day-?-PL
muvanlai	31	mu-vanlai	see.I-?
bawngtalno	31	ba-wngtalno	owe-?
aisanna	31	a-isan-na	3SG-?-NMLZ
lausak	31	lau-sak	fear-?
adangte	31	a-dang-te	3SG-?-PL
galdona	31	galdo-na	?-NMLZ
kongpite	31	kong-pi-te	1SG→3-?-PL
genkhol	31	gen-khol	speak-?
ciahsak	31	ciah-sak	return-?
lungnopna	31	lung-nop-na	feel-?-NMLZ
nuihsan	31	nu-ihsan	mother-?
miliante	31	mi-lian-te	person-?-PL
sate	30	sat-e	strike-?
sawmkua	30	sa-wmkua	flesh-?
sawmna	30	sa-wm-na	flesh-?-NMLZ
zahzah	30	zah-zah	fear-?
kipatna	30	kipat-na	?-NMLZ
duh	30	d-uh	?-PL
mindaina	30	min-dai-na	name-?-NMLZ
khangham	30	khang-ham	generation-?
citakin	30	ci-takin	say-?
khauhsak	30	kha-uhsak	spirit-?
aisan	30	a-isan	3SG-?
thukpi	30	thu-kpi	word-?
ukpite	30	uk-pi-te	rule-?-PL
awmdal	30	a-wmdal	3SG-?
geelna	30	geel-na	?-NMLZ
paai	30	pa-ai	father-?
muan	30	mu-an	see.I-?
karmel	30	ka-rmel	1SG-?
nungtasak	29	nung-tasak	live-?
matengun	29	mat-engun	grasp-?
tuh	29	t-uh	?-PL
ngahsak	29	ngah-sak	get-?
muhdahhuai	29	muh-dahhuai	see.II-?
muhdah	29	muh-dah	see.II-?
cingin	29	ci-ngin	say-?
lianpite	29	lianpi-te	?-PL
baihsa	29	ba-ihsa	owe-?
lungtang	29	lung-tang	feel-?
lamna	29	lam-na	?-NMLZ
vel	29	ve-l	do-?
thatang	29	that-ang	kill-?
ancilna	29	a-ncil-na	3SG-?-NMLZ
nidangin	29	ni-dangin	day-?
teelna	29	teel-na	?-NMLZ
sepnate	29	sep-na-te	work-?-PL
thaltangte	29	thaltang-te	?-PL
mihau	29	mi-hau	person-?
hilkiah	29	hi-lkiah	be-?
paikhiatpihin	28	paikhiat-pihin	send.away-?
zineu	28	zi-neu	wife-?
lahna	28	lah-na	?-NMLZ
bangzahin	28	ba-ngzahin	owe-?
kaikhawmin	28	ka-ikhawmin	1SG-?
