surface_form	normalized_form	segmentation	alt_segmentations	gloss	lemma	alt_lemmas	pos	alt_pos	confidence	first_verse	frequency	review_reasons	status
ciangin	ciangin	ciang-in		then-ERG	ciang		UNK		high	01001003	9994	pos_unknown	needs_review
mite	mite	mi-te	Mite|Mite'|mite'	person-PL	mi	Mite|mite	N	PROP|UNK	high	01004026	7200	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
ama	ama	ama	Ama|ama'	3SG.POSS	ama	Ama	UNK	PROP	high	01001027	4306	multi_segmentation:3|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
tapa	tapa	tapa'	Tapa'|ta-pa	son.POSS	tapa	ta	N		high	01004017	2188	multi_segmentation:3|multi_lemma:2	needs_review
Israel	israel	Israel	Israel'	ISRAEL	Israel	israel	PROP	UNK	high	01032028	2007	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
kumpipa	kumpipa	kumpi-pa	Kumpipa'|kumpipa'	king-male	kumpi	kumpipa	N		high	01014001	1852	multi_segmentation:3|multi_lemma:2	needs_review
Jesuh	jesuh	Jesuh	Jesuh'	JESUH	Jesuh	jesuh	PROP	UNK	high	40001001	1834	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
khuapi	khuapi	khua-pi	khuapi'	village-big	khua	khuapi	N		high	01004017	1161	multi_segmentation:2|multi_lemma:2	needs_review
David	david	David'	David	DAVID.POSS	david	David	UNK	PROP	high	08004017	1052	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
lungsim	lungsim	lung-sim	lungsim'	stone-mind	lung	lungsim	V	N	high	01006005	988	multi_segmentation:2|multi_lemma:2|multi_pos:N|V	needs_review
leitung	leitung	lei-tung	leitung'	land-on	lei	leitung	V	N	high	01001001	882	multi_segmentation:2|multi_lemma:2|multi_pos:N|V	needs_review
Moses	moses	Moses	Moses'	MOSES	Moses	moses	PROP	UNK	high	02002010	866	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Judah	judah	Judah	Judah'	JUDAH	Judah	judah	PROP	UNK	high	01029035	820	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
ngei	ngei	ngei		EXP	ngei		UNK		high	01008021	742	pos_unknown	needs_review
numei	numei	nu-mei	Numei'|numei'	woman	nu	numei	N		high	01001027	739	multi_segmentation:3|multi_lemma:2	needs_review
mawhna	mawhna	mawh-na	Mawhna'|mawhna'	err-NMLZ	mawh	mawhna	V	N	high	01004007	724	multi_segmentation:3|multi_lemma:2|multi_pos:N|V	needs_review
minam	minam	mi-nam	minam'	person-kind	mi	minam	N		high	01010032	695	multi_segmentation:2|multi_lemma:2	needs_review
Egypt	egypt	Egypt	Egypt'	EGYPT	Egypt	egypt	PROP	UNK	high	01010006	684	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Khrih	khrih	Khrih'	Khrih	KHRIH.POSS	khrih	Khrih	UNK	PROP	high	40001001	643	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
pai-in	pai-in	pai-in	Pai-in	go-ERG	pai	Pai-In	V	PROP	high	01009023	638	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|V	needs_review
Jerusalem	jerusalem	Jerusalem	Jerusalem'	JERUSALEM	Jerusalem	jerusalem	PROP	UNK	high	01014018	627	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
kibang	kibang	ki-bang		REFL-same	bang		UNK		high	01003022	626	pos_unknown	needs_review
tapate	tapate	tapa-te	tapate'	son-PL	tapa	tapate	N	UNK	high	01006018	609	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
tuate	tuate	tua-te	Tuate|tua-te'	DIST-PL	tua	Tuate	FUNC	PROP	high	01001014	606	multi_segmentation:3|multi_lemma:2|multi_pos:FUNC|PROP	needs_review
Israel-te	israel-te	Israel-te	Israel-te'	ISRAEL-TE	Israel-Te	israel	PROP	UNK	high	01047027	575	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
thuman	thuman	thu-man	Thuman	word-reason	thu	Thuman	N	PROP	high	01006009	515	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
thute	thute	thu-te	thute'	word-PL	thu	thute	N	UNK	high	01015001	515	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
tun	tun	tun		arrive	tun		UNK		high	01007006	498	pos_unknown	needs_review
mihing	mihing	mi-hing	Mihing'|mihing'	person-kind	mi	mihing	N		high	01001026	474	multi_segmentation:3|multi_lemma:2	needs_review
pha	pha	pha	Pha	branch	pha		UNK		high	01001021	461	multi_segmentation:2|pos_unknown	needs_review
ciang	ciang	ciang		then	ciang		UNK		high	01003019	451	pos_unknown	needs_review
Saul	saul	Saul	Saul'	SAUL	Saul	saul	PROP	UNK	high	09009002	440	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Thukham	thukham	thu-kham	Thukham'|thukham'	law	thu	thukham	N		high	02013009	438	multi_segmentation:3|multi_lemma:2	needs_review
galte	galte	gal-te	Galte|Galte'|galte'	enemy-PL	gal	Galte|galte	N	PROP|UNK	high	01014011	430	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
tau	tau	tau		signal	tau		UNK		high	01008020	427	pos_unknown	needs_review
nasemte	nasemte	nasem-te	nasemte'	servant-PL	nasem	nasemte	N	UNK	high	01014015	413	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
nai	nai	nai		near	nai		UNK		high	01002005	405	pos_unknown	needs_review
gimna	gimna	gim-na	Gimna	suffer-NMLZ	gim	Gimna	N	PROP	high	01003016	405	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
pate	pate	pa-te	Pate'|pate'	male-PL	pa	pate	N	UNK	high	01015015	398	multi_segmentation:3|multi_lemma:2|multi_pos:N|UNK	needs_review
minamte	minamte	mi-nam-te	Minamte|Minamte'|minamte'	person-kind-PL	mi	Minamte|minamte	N	PROP|UNK	high	01010032	386	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
nate	nate	na-te	nate'	2SG-PL	te	nate	FUNC	N	high	01014021	379	multi_segmentation:2|multi_lemma:2|multi_pos:FUNC|N	needs_review
dangte	dangte	dang-te	dangte'	other-PL	dang	dangte	N	UNK	high	01003001	373	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
gim	gim	gim		faint	gim		UNK		high	01004013	365	pos_unknown	needs_review
ciat	ciat	ciat	ciat'	each	ciat		UNK		high	01006019	365	multi_segmentation:2|pos_unknown	needs_review
Levi	levi	Levi	Levi'	LEVI	Levi	levi	PROP	UNK	high	01029034	363	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
kici	kici	kici		called	kici		UNK		high	01002023	354	pos_unknown	needs_review
takin	takin	takin		really	takin		UNK		high	01021018	346	pos_unknown	needs_review
kip	kip	kip		firm	kip		UNK		high	01021018	343	pos_unknown	needs_review
Jakob	jakob	Jakob	Jakob'	JAKOB	Jakob	jakob	PROP	UNK	high	01025026	338	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
sanggamte	sanggamte	sanggamte'	sanggam-te	brother-PL.POSS	sanggamte	sanggam	UNK	N	high	01009025	337	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK|pos_unknown	needs_review
“	“						UNK		high	01004001	335	pos_unknown	needs_review
suante	suante	suan-te	suante'	offspring-PL	suan	suante	V	UNK	high	01036015	333	multi_segmentation:2|multi_lemma:2|multi_pos:UNK|V	needs_review
nasempa	nasempa	nasempa'	nasem-pa	servant.POSS	nasempa	nasem	N		high	01018003	332	multi_segmentation:2|multi_lemma:2	needs_review
Aaron	aaron	Aaron	Aaron'	AARON	Aaron	aaron	PROP	UNK	high	02004014	326	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
