lexeme_id	form_i	form_ii	gloss	alternation_type	source_henderson	source_zam_ngaih_cing	source_vsa_questionnaire	source_analyzer_inventory	source_bible_audit	source_project_review	source_notes	lexical_category	category_evidence	form_i_bible_attested	form_ii_bible_attested	form_i_clean_token_count	form_ii_clean_token_count	form_i_family_count	form_ii_family_count	clean_verb_form_i_count	clean_verb_form_ii_count	best_form_i_examples	best_form_ii_examples	best_clean_verb_form_i_examples	best_clean_verb_form_ii_examples	nominalized_examples	dependent_temporal_examples	purpose_examples	relative_or_attributive_examples	negative_examples	finite_predicate_examples	derived_or_causative_examples	compound_or_lexicalized_examples	homophone_or_noise_notes	bible_attestation_profile	lexical_pair_status	recommended_grammar_treatment	print_example_status	promotion_status	promotion_blocker	notes
bawl-bawl	bawl	bawl	make/do	other / irregular / uncertain	no	no	yes	no	yes	no	Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *bawl-I/*bawl-II -> bawl/bawl. The questionnaire uses the same written form in both slots. Analyzer inventory also maps the same Form I base to bawl-bawlh.	same_form_questionnaire_control	POS profile V:1549; clean verbal exact rows I=1540, II=0. Bible hits confirm the questionnaire control form, but not an overt written alternation.	yes	no	1549	0	1549	0	1540	0	Zechariah 9:3 `bawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 12:3 `bawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 12:2 `bawl` [finite_main_or_matrix; needs_analyzer_review]		Zechariah 9:3 `bawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 12:3 `bawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 12:2 `bawl` [finite_main_or_matrix; needs_analyzer_review]			Numbers 6:2 `bawl` [dependent_temporal_ciangin; needs_analyzer_review]; Numbers 10:2 `bawl` [dependent_temporal_ciangin; needs_analyzer_review]	Zechariah 14:19 `bawl` [purpose_nadingin; needs_analyzer_review]; Zechariah 14:18 `bawl` [purpose_nadingin; needs_analyzer_review]	Psalms 22:16 `bawl` [possessed_or_genitive_attributive; needs_analyzer_review]; Proverbs 6:33 `bawl` [relative_or_attributive_mi; needs_analyzer_review]	Zephaniah 1:12 `bawl` [negative_clause; needs_analyzer_review]; Romans 8:15 `bawl` [negative_clause; needs_analyzer_review]	Zechariah 9:3 `bawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 12:3 `bawl` [finite_main_or_matrix; needs_analyzer_review]			Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	form_i_only_attested	questionnaire_pair_bible_one_sided	mention_as_literature_or_questionnaire_only	needs_analyzer_review	mention_as_questionnaire_control	same_written_form_no_overt_alternation	Shared Form I base with bawl-bawlh. Questionnaire keeps the same written form in both slots, so this row is treated as Form I only for Bible-attestation purposes. Only one stem side is currently attested cleanly in the Bible corpus.
bawl-bawlh	bawl	bawlh	make	+h	no	no	no	yes	yes	no		lexical_verb	POS profile V:2561, N:212, FUNC:24; clean verbal exact rows I=1540, II=0. Exact verbal evidence survives after lexical-category filtering.	yes	no	1549	0	2806	0	1540	0	Zechariah 9:3 `bawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 12:3 `bawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 12:2 `bawl` [finite_main_or_matrix; needs_analyzer_review]		Zechariah 9:3 `bawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 12:3 `bawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 12:2 `bawl` [finite_main_or_matrix; needs_analyzer_review]		Zechariah 8:19 `bawlna` [nominalized_na; needs_analyzer_review]; Zechariah 10:7 `bawlna` [nominalized_na; needs_analyzer_review]	Numbers 6:2 `bawl` [dependent_temporal_ciangin; needs_analyzer_review]; Numbers 10:2 `bawl` [dependent_temporal_ciangin; needs_analyzer_review]	Zechariah 14:19 `bawl` [purpose_nadingin; needs_analyzer_review]; Zechariah 14:18 `bawl` [purpose_nadingin; needs_analyzer_review]	Psalms 22:16 `bawl` [possessed_or_genitive_attributive; needs_analyzer_review]; Proverbs 6:33 `bawl` [relative_or_attributive_mi; needs_analyzer_review]	Zephaniah 1:12 `bawl` [negative_clause; needs_analyzer_review]; Song of Solomon 1:6 `gawtbawl` [negative_clause; needs_analyzer_review]	Zechariah 9:3 `bawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 5:7 `kibawl` [finite_main_or_matrix; needs_analyzer_review]	Zechariah 9:8 `bawlsiasak` [causative_or_derivational_sak; exclude_for_now]; Psalms 68:28 `bawlsak` [causative_or_derivational_sak; exclude_for_now]		Blocked noisy material includes bawlsak, kibawlsak, bawlsakna, bawlsiasak.	form_i_only_attested	analyzer_pair_needs_review	omit_pending_evidence	needs_analyzer_review	mention_in_inventory_only	no_clean_form_ii_verb_example	Only one stem side is currently attested cleanly in the Bible corpus.
bia-biak	bia	biak	worship	+k	no	no	no	yes	yes	no		lexical_verb	POS profile N:2514, V:458, FUNC:108; clean verbal exact rows I=213, II=211. Exact verbal evidence survives after lexical-category filtering.	yes	yes	219	211	287	2793	213	211	Zephaniah 2:11 `bia` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 8:22 `bia` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 14:9 `bia` [finite_main_or_matrix; needs_analyzer_review]	Philippians 1:3 `biak` [finite_main_or_matrix; needs_analyzer_review]; Numbers 31:41 `biak` [finite_main_or_matrix; needs_analyzer_review]; Numbers 29:39 `biak` [finite_main_or_matrix; needs_analyzer_review]	Zephaniah 2:11 `bia` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 8:22 `bia` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 14:9 `bia` [finite_main_or_matrix; needs_analyzer_review]	Philippians 1:3 `biak` [finite_main_or_matrix; needs_analyzer_review]; Numbers 31:41 `biak` [finite_main_or_matrix; needs_analyzer_review]; Numbers 29:39 `biak` [finite_main_or_matrix; needs_analyzer_review]	Zephaniah 3:10 `biakna` [nominalized_na; needs_analyzer_review]; Zephaniah 1:7 `biakna-a` [nominalized_na; needs_analyzer_review]	2 Kings 25:9 `biakinn` [clause_linking_kipan; needs_analyzer_review]	Zechariah 5:11 `biak` [purpose_nadingin; needs_analyzer_review]; Zechariah 14:17 `bia` [purpose_nadingin; needs_analyzer_review]	Zephaniah 1:5 `bia` [relative_or_attributive_mi; needs_analyzer_review]; Psalms 97:7 `bia` [relative_or_attributive_mi; needs_analyzer_review]	Zechariah 11:13 `“Biakinn` [negative_clause; needs_analyzer_review]; Zechariah 10:12 `bia-in` [negative_clause; needs_analyzer_review]	Zephaniah 2:11 `bia` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 1:5 `bia-in` [finite_main_or_matrix; needs_analyzer_review]	Revelation 13:12 `biasak` [causative_or_derivational_sak; exclude_for_now]		Blocked noisy material includes biasak.	both_forms_cleanly_attested	likely_pair	discuss_under_nominalization_or_dependent_clauses	needs_analyzer_review	promote_with_caveat	needs_manual_philological_review	
ci-ci	ci	ci	say	other / irregular / uncertain	no	no	yes	no	yes	no	Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *ci-I/*ci-II -> ci/ci. The questionnaire uses the same written form in both slots. Analyzer inventory also maps the same Form I base to ci-cih.	same_form_questionnaire_control	POS profile V:5847; clean verbal exact rows I=5843, II=0. Bible hits confirm the questionnaire control form, but not an overt written alternation.	yes	no	5847	0	5847	0	5843	0	Zephaniah 3:7 `ci` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `ci` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `ci` [finite_main_or_matrix; needs_analyzer_review]		Zephaniah 3:7 `ci` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `ci` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `ci` [finite_main_or_matrix; needs_analyzer_review]				2 Kings 5:22 `ci` [purpose_nadingin; needs_analyzer_review]	Matthew 7:21 `ci` [relative_or_attributive_mi; needs_analyzer_review]; Luke 20:27 `ci` [relative_or_attributive_mi; needs_analyzer_review]	Ruth 1:20 `ci` [negative_clause; needs_analyzer_review]; Ruth 1:18 `ci` [negative_clause; needs_analyzer_review]	Zephaniah 3:7 `ci` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `ci` [finite_main_or_matrix; needs_analyzer_review]			Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	form_i_only_attested	questionnaire_pair_bible_one_sided	mention_as_literature_or_questionnaire_only	needs_analyzer_review	mention_as_questionnaire_control	same_written_form_no_overt_alternation	Shared Form I base with ci-cih. Questionnaire keeps the same written form in both slots, so this row is treated as Form I only for Bible-attestation purposes. Only one stem side is currently attested cleanly in the Bible corpus.
ci-cih	ci	cih	say	+h	yes	no	no	yes	yes	no	`source_henderson=yes` means the in-repo literature review aligns this pair directly to Henderson; it does not claim an exhaustive extracted Henderson pair list.	auxiliary_or_functional_verb	POS profile V:11280, FUNC:313, N:106; clean verbal exact rows I=5843, II=2797. The pair behaves mainly as copular, quotative, existential, or otherwise functional material.	yes	yes	5847	2797	8244	3476	5843	2797	Zephaniah 3:7 `ci` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `ci` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `ci` [finite_main_or_matrix; needs_analyzer_review]	Zechariah 1:9 `cih` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 14:8 `cih` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 14:7 `cih` [finite_main_or_matrix; needs_analyzer_review]	Zephaniah 3:7 `ci` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `ci` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `ci` [finite_main_or_matrix; needs_analyzer_review]	Zechariah 1:9 `cih` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 14:8 `cih` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 14:7 `cih` [finite_main_or_matrix; needs_analyzer_review]	Zechariah 6:5 `cihnopna` [nominalized_na; needs_analyzer_review]; Zechariah 6:4 `cihnopna` [nominalized_na; needs_analyzer_review]	Ruth 4:8 `cih` [dependent_temporal_ciangin; needs_analyzer_review]; Romans 1:12 `cih` [dependent_temporal_ciangin; needs_analyzer_review]	Numbers 11:18 `cianga` [purpose_nadingin; needs_analyzer_review]; Numbers 11:12 `cih` [purpose_nadingin; needs_analyzer_review]	Romans 2:22 `ci-in` [possessed_or_genitive_attributive; needs_analyzer_review]; Romans 2:21 `ci-in` [possessed_or_genitive_attributive; needs_analyzer_review]	Zephaniah 3:4 `citak` [negative_clause; needs_analyzer_review]; Zephaniah 2:9 `ci-in` [negative_clause; needs_analyzer_review]	Zephaniah 3:7 `ci-in` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:7 `ci` [finite_main_or_matrix; needs_analyzer_review]	Zephaniah 2:7 `citheisakkik` [causative_or_derivational_sak; exclude_for_now]; Zechariah 2:9 `cisak` [causative_or_derivational_sak; exclude_for_now]		Blocked noisy material includes cisak, cihsak, cimawhsak, citheisakkik.	both_forms_cleanly_attested	established_pair	discuss_under_lexicalized_or_excluded_forms	needs_analyzer_review	mention_in_inventory_only	category_mismatch	
dawn-dawn	dawn	dawn	drink	other / irregular / uncertain	no	no	yes	no	yes	no	Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *dawn-I/*dawn-II -> dawn/dawn. The questionnaire uses the same written form in both slots.	same_form_questionnaire_control	POS profile V:328, N:3; clean verbal exact rows I=325, II=0. Bible hits confirm the questionnaire control form, but not an overt written alternation.	yes	no	331	0	331	0	325	0	Song of Solomon 5:1 `dawn` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 4:8 `dawn` [finite_main_or_matrix; needs_analyzer_review]; Ruth 3:7 `dawn` [finite_main_or_matrix; needs_analyzer_review]		Song of Solomon 5:1 `dawn` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 4:8 `dawn` [finite_main_or_matrix; needs_analyzer_review]; Ruth 3:7 `dawn` [finite_main_or_matrix; needs_analyzer_review]			Proverbs 18:23 `dawn` [dependent_temporal_ciangin; needs_analyzer_review]; Matthew 14:16 `dawn` [dependent_temporal_ciangin; needs_analyzer_review]	Revelation 18:6 `dawn` [purpose_nadingin; needs_analyzer_review]; Revelation 16:6 `dawn` [purpose_nadingin; needs_analyzer_review]	Revelation 8:11 `dawn` [relative_or_attributive_mi; needs_analyzer_review]; 1 Corinthians 11:29 `dawn` [relative_or_attributive_mi; needs_analyzer_review]	Zephaniah 1:13 `dawn` [negative_clause; needs_analyzer_review]; Psalms 78:44 `dawn` [negative_clause; needs_analyzer_review]	Song of Solomon 5:1 `dawn` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 4:8 `dawn` [finite_main_or_matrix; needs_analyzer_review]			Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	form_i_only_attested	questionnaire_pair_bible_one_sided	mention_as_literature_or_questionnaire_only	needs_analyzer_review	mention_as_questionnaire_control	same_written_form_no_overt_alternation	Questionnaire keeps the same written form in both slots, so this row is treated as Form I only for Bible-attestation purposes. Only one stem side is currently attested cleanly in the Bible corpus.
dipkua-dipkuat	dipkua	dipkuat	haste	+t	no	no	no	yes	yes	no		lexical_verb	POS profile N:8, V:3, FUNC:1; clean verbal exact rows I=2, II=0. Exact verbal evidence survives after lexical-category filtering.	yes	yes	2	0	11	1	2	0	Psalms 48:5 `dipkua` [finite_main_or_matrix; needs_analyzer_review]; Jeremiah 4:9 `dipkua` [finite_main_or_matrix; needs_analyzer_review]; Psalms 66:5 `dipkuathuai` [finite_main_or_matrix; needs_analyzer_review]	Leviticus 26:16 `dipkuatna` [nominalized_na; needs_analyzer_review]	Psalms 48:5 `dipkua` [finite_main_or_matrix; needs_analyzer_review]; Jeremiah 4:9 `dipkua` [finite_main_or_matrix; needs_analyzer_review]		Leviticus 26:16 `dipkuatna` [nominalized_na; needs_analyzer_review]					Psalms 66:5 `dipkuathuai` [finite_main_or_matrix; needs_analyzer_review]; Psalms 48:5 `dipkua` [finite_main_or_matrix; needs_analyzer_review]				both_forms_attested_but_complex	likely_pair	discuss_under_nominalization_or_dependent_clauses	needs_analyzer_review	mention_in_inventory_only	no_clean_form_ii_verb_example	Both forms are attested, but at least one side is clearest in dependent, nominalized, or otherwise non-bare environments.
gamla-gamlat	gamla	gamlat	wilderness	+t	no	no	no	yes	yes	no		noun_or_nominal_compound	POS profile N:79, FUNC:2, V:1; clean verbal exact rows I=0, II=0. Current Bible hits are predominantly nominal, locative, or compound-like rather than verbal.	yes	yes	57	1	81	1	0	0	Judges 18:28 `gamla` [finite_main_or_matrix; needs_analyzer_review]; Psalms 71:12 `gamla` [negative_clause; needs_analyzer_review]; Psalms 22:19 `gamla` [negative_clause; needs_analyzer_review]	Psalms 103:12 `gamlat` [unknown_or_needs_review; needs_analyzer_review]							Psalms 71:12 `gamla` [negative_clause; needs_analyzer_review]; Psalms 22:19 `gamla` [negative_clause; needs_analyzer_review]	Romans 3:23 `kigamla` [finite_main_or_matrix; needs_analyzer_review]; Nehemiah 4:19 `kigamla` [finite_main_or_matrix; needs_analyzer_review]	2 Timothy 2:16 `kigamlasak` [causative_or_derivational_sak; exclude_for_now]		Blocked noisy material includes kigamlasak.	both_forms_cleanly_attested	likely_pair	discuss_under_lexicalized_or_excluded_forms	needs_analyzer_review	block_from_verb_inventory_pending_review	nominal_or_compound_examples_only	
gen-genh	gen	genh	speak	+h	no	no	no	yes	yes	no		lexical_verb	POS profile V:2527, N:883, FUNC:168; clean verbal exact rows I=2392, II=0. Exact verbal evidence survives after lexical-category filtering.	yes	no	2399	0	3579	0	2392	0	Zephaniah 3:8 `gen` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:6 `gen` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:18 `gen` [finite_main_or_matrix; needs_analyzer_review]		Zephaniah 3:8 `gen` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:6 `gen` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:18 `gen` [finite_main_or_matrix; needs_analyzer_review]		Romans 9:27 `genna-ah` [nominalized_na; needs_analyzer_review]; Romans 3:4 `genna` [nominalized_na; needs_analyzer_review]	Romans 3:5 `gen` [dependent_temporal_ciangin; needs_analyzer_review]; Romans 3:4 `genkik` [dependent_temporal_ciangin; needs_analyzer_review]	Zechariah 2:8 `gen` [purpose_nadingin; needs_analyzer_review]; Romans 10:15 `gen` [purpose_nadingin; needs_analyzer_review]	Psalms 15:2 `gen` [relative_or_attributive_mi; needs_analyzer_review]; Psalms 101:7 `gen` [relative_or_attributive_mi; needs_analyzer_review]	Titus 2:3 `gensiatkhak` [negative_clause; needs_analyzer_review]; Titus 2:3 `gensiate` [negative_clause; needs_analyzer_review]	Zephaniah 3:8 `gen` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:6 `gen` [finite_main_or_matrix; needs_analyzer_review]	Song of Solomon 5:8 `gensak` [causative_or_derivational_sak; exclude_for_now]; Psalms 107:22 `gensak` [causative_or_derivational_sak; exclude_for_now]		Blocked noisy material includes gensak, kigensak, gentheisak, gensakin.	form_i_only_attested	analyzer_pair_needs_review	omit_pending_evidence	needs_analyzer_review	mention_in_inventory_only	no_clean_form_ii_verb_example	Only one stem side is currently attested cleanly in the Bible corpus.
hawlkhia-hawlkhiat	hawlkhia	hawlkhiat	drive.out	+t	no	no	no	yes	yes	no		lexical_verb	POS profile V:151, N:22, FUNC:13; clean verbal exact rows I=101, II=0. Exact verbal evidence survives after lexical-category filtering.	yes	yes	103	21	164	22	101	0	Zephaniah 3:11 `hawlkhia` [finite_main_or_matrix; needs_analyzer_review]; Psalms 68:2 `hawlkhia` [finite_main_or_matrix; needs_analyzer_review]; Psalms 44:2 `hawlkhia` [finite_main_or_matrix; needs_analyzer_review]	Mark 11:15 `hawlkhiat` [finite_main_or_matrix; needs_analyzer_review]; Luke 19:45 `hawlkhiat` [finite_main_or_matrix; needs_analyzer_review]; John 12:42 `hawlkhiat` [finite_main_or_matrix; needs_analyzer_review]	Zephaniah 3:11 `hawlkhia` [finite_main_or_matrix; needs_analyzer_review]; Psalms 68:2 `hawlkhia` [finite_main_or_matrix; needs_analyzer_review]; Psalms 44:2 `hawlkhia` [finite_main_or_matrix; needs_analyzer_review]				Exodus 23:28 `hawlkhia` [purpose_nadingin; needs_analyzer_review]; 2 Chronicles 20:11 `hawlkhia` [purpose_nadingin; needs_analyzer_review]	Mark 9:38 `hawlkhia` [relative_or_attributive_mi; needs_analyzer_review]; Luke 9:49 `hawlkhia` [relative_or_attributive_mi; needs_analyzer_review]	Psalms 27:9 `hawlkhia` [negative_clause; needs_analyzer_review]; Numbers 33:55 `hawlkhiat` [negative_clause; needs_analyzer_review]	Zephaniah 3:11 `hawlkhia` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 2:4 `kihawlkhia` [finite_main_or_matrix; needs_analyzer_review]	Psalms 36:11 `hawlkhiasak` [causative_or_derivational_sak; exclude_for_now]; Luke 8:2 `hawlkhiatsakte` [causative_or_derivational_sak; exclude_for_now]		Blocked noisy material includes hawlkhiasak, hawlkhiatsakte.	both_forms_cleanly_attested	likely_pair	discuss_under_nominalization_or_dependent_clauses	needs_analyzer_review	mention_in_inventory_only	no_clean_form_ii_verb_example	
